"","","","","","",""
"2039868","ROCKDALE","2/11/2023","20:11 PM","58","318","Customer installation"
"2039876","WARRINGAH","2/11/2023","22:11 PM","52","84","Environmental"
"2040037","MUSWELLBROOK","3/11/2023","17:11 PM","176","158","Equipment fault"
"2040062","NEWCASTLE","3/11/2023","23:11 PM","2123","82","Environmental"
"2040076","MANLY","4/11/2023","2:11 AM","2072","69","Environmental"
"2040126","LANE COVE","4/11/2023","11:11 AM","57","352","Third party"
"2040212","LAKE MACQUARIE","5/11/2023","2:11 AM","78","140","Equipment fault"
"2040217","HORNSBY","5/11/2023","3:11 AM","51","342","Environmental"
"2040219","BANKSTOWN","5/11/2023","3:11 AM","1682","195","Environmental"
"2040222","GOSFORD","5/11/2023","5:11 AM","1102","111","Environmental"
"2040296","RANDWICK","5/11/2023","12:11 PM","226","228","Third party"
"2040379","WARRINGAH","5/11/2023","23:11 PM","62","113","Environmental"
"2040361","LANE COVE","6/11/2023","1:11 AM","129","170","Equipment fault"
"2040449","WARRINGAH","6/11/2023","10:11 AM","62","149","Customer installation"
"2040419","CANTERBURY","6/11/2023","11:11 AM","123","170","Equipment fault"
"2040520","WOOLLAHRA","6/11/2023","12:11 PM","54","917","Equipment fault"
"2040621","CANTERBURY","6/11/2023","21:11 PM","57","117","Equipment fault"
"2040824","HUNTERS HILL","7/11/2023","21:11 PM","1222","41","Equipment fault"
"2040869","BANKSTOWN","8/11/2023","10:11 AM","582","105","Third party"
"2040905","SOUTH SYDNEY","8/11/2023","12:11 PM","55","185","Equipment fault"
"2040958","GOSFORD","8/11/2023","16:11 PM","97","7","Environmental"
"2040976","SINGLETON","8/11/2023","16:11 PM","97","173","Environmental"
"2041013","RYDE","8/11/2023","21:11 PM","67","55","Equipment fault"
"2040884","MARRICKVILLE","9/11/2023","0:11 AM","110","80","Equipment fault"
"2041021","MOSMAN","9/11/2023","3:11 AM","57","294","Third party"
"2041026","PITTWATER","9/11/2023","4:11 AM","1029","70","Environmental"
"2041111","LAKE MACQUARIE","9/11/2023","11:11 AM","296","57","Third party"
"2041189","GOSFORD","9/11/2023","15:11 PM","318","145","Environmental"
"2041193","GOSFORD","9/11/2023","15:11 PM","120","237","Environmental"
"2041198","BANKSTOWN","9/11/2023","15:11 PM","4639","78","Lightning"
"2041202","MERRIWA","9/11/2023","15:11 PM","204","101","Equipment fault"
"2041204","BANKSTOWN","9/11/2023","15:11 PM","100","217","Equipment fault"
"2041214","WYONG","9/11/2023","16:11 PM","395","90","Environmental"
"2041223","SINGLETON","9/11/2023","16:11 PM","54","120","Lightning"
"2041229","LANE COVE","9/11/2023","16:11 PM","1595","66","Lightning"
"2041250","HORNSBY","9/11/2023","16:11 PM","1285","64","Environmental"
"2041260","MERRIWA","9/11/2023","16:11 PM","138","245","Equipment fault"
"2041263","PORT STEPHENS","9/11/2023","17:11 PM","401","201","Equipment fault"
